,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
412,Poirot,U,100,"Mystery, Drama, Crime",8.6,David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,38313,1989,2013.0,25.0,6
413,Courage the Cowardly Dog,NA,11,"Animation, Adventure, Comedy",8.2,Marty Grabstein,Thea White,Peter Fernandez,Simon Prebble,38246,1999,2002.0,4.0,6
414,Ballers,18,30,"Sport, Drama, Comedy",7.6,Dwayne Johnson,John David Washington,Donovan W. Carter,Troy Garity,38202,2015,2019.0,5.0,12
415,Anne,16,60,"Family, Drama",8.7,Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,37997,2017,2019.0,3.0,TV-MA
416,Poketto monsutâ,NA,24,"Animation, Adventure, Action",7.5,Veronica Taylor,Rachael Lillis,Eric Stuart,Ikue Ôtani,37850,1997,,,MG6
417,Messiah,18,43,"Mystery, Drama, Thriller",7.6,Michelle Monaghan,Mehdi Dehbi,John Ortiz,Tomer Sisley,37775,2020,2020.0,1.0,16
418,The Colbert Report,NA,30,"Talk-Show, News, Comedy",8.4,Stephen Colbert,Jay Katsir,Jon Stewart,Paul Dinello,37770,2005,2014.0,10.0,TV-14
419,X-Men,NA,23,"Family, Animation, Action",8.4,Cedric Smith,Cal Dodd,Lenore Zann,George Buza,37715,1992,1997.0,6.0,16
420,The Nanny,NA,22,"Romance, Family, Comedy",6.9,Fran Drescher,Charles Shaughnessy,Daniel Davis,Lauren Lane,37644,1993,1999.0,7.0,AL
421,Empire,15+,42,"Drama, Music",7.4,Terrence Howard,Taraji P. Henson,Jussie Smollett,Bryshere Y. Gray,37585,2015,2020.0,6.0,R
422,Trailer Park Boys,18,30,"Crime, Comedy",8.4,John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,37439,2001,2018.0,18.0,12
423,The Powerpuff Girls,NA,30,"Animation, Adventure, Action",7.2,Cathy Cavadini,Elizabeth Daily,Tara Strong,Tom Kenny,37358,1998,2005.0,8.0,MG6
424,Love,18+,50,"Romance, Drama, Comedy",7.7,Gillian Jacobs,Paul Rust,Claudia O'Doherty,Mike Mitchell,37264,2016,2018.0,3.0,AL
425,Ted Lasso,A,30,"Sport, Drama, Comedy",8.7,Jason Sudeikis,Hannah Waddingham,Brendan Hunt,Jeremy Swift,37170,2020,,,9
426,The Terror,16+,60,"Adventure, Drama, History",8.0,Jared Harris,Derek Mio,Tobias Menzies,Kiki Sukezane,37010,2018,,,16
427,Hannah Montana,PG,23,"Family, Comedy, Music",5.1,Miley Cyrus,Emily Osment,Jason Earles,Billy Ray Cyrus,37005,2006,2011.0,6.0,AL
428,Hemlock Grove,NA,46,"Mystery, Drama, Horror",7.1,Famke Janssen,Bill Skarsgård,Landon Liboiron,Joel de la Fuente,36995,2013,2015.0,3.0,16
429,Timeless,15+,60,"Adventure, Drama, Action",7.7,Abigail Spencer,Matt Lanter,Malcolm Barrett,Paterson Joseph,36967,2016,2018.0,3.0,12
430,Tokyo Ghoul,18,24,"Animation, Drama, Action",7.9,Natsuki Hanae,Austin Tindle,Sora Amamiya,Brina Palencia,36772,2014,2014.0,1.0,12
431,Sword Art Online,18,24,"Animation, Adventure, Action",7.6,Yoshitsugu Matsuoka,Haruka Tomatsu,Bryce Papenbrook,Cherami Leigh,36654,2012,,,12
432,Father Ted,NA,25,Comedy,8.6,Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,36643,1995,1998.0,4.0,6
433,What We Do in the Shadows,15+,30,"Fantasy, Horror, Comedy",8.5,Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,36533,2019,,,16
434,Dawson's Creek,18,60,"Romance, Drama",6.6,James Van Der Beek,Katie Holmes,Michelle Williams,Joshua Jackson,36347,1998,2003.0,6.0,AL
435,Humans,NA,42,"Drama, Sci-Fi",8.0,Katherine Parkinson,Gemma Chan,Lucy Carless,Tom Goodman-Hill,36322,2015,2018.0,4.0,6
436,The Black Adder,NA,195,Comedy,8.1,Rowan Atkinson,Brian Blessed,Elspet Gray,Tim McInnerny,35855,1982,1983.0,2.0,6
437,MacGyver,NA,48,"Adventure, Crime, Action",7.7,Richard Dean Anderson,Dana Elcar,Bruce McGill,Robin Mossley,35688,1985,1992.0,8.0,12
438,Boku no hîrô akademia,16,24,"Animation, Adventure, Action",8.5,Daiki Yamashita,Nobuhiko Okamoto,Justin Briner,Ayane Sakura,35608,2016,,,12
439,Drake & Josh,NA,23,"Family, Comedy",7.7,Drake Bell,Josh Peck,Miranda Cosgrove,Nancy Sullivan,35491,2004,2007.0,4.0,NA
440,O Mecanismo,18,41,"Drama, Thriller, Crime",8.4,Caroline Abras,Selton Mello,Enrique Diaz,Jonathan Haagensen,35476,2018,,,TV-MA
441,Haven,NA,60,"Fantasy, Drama, Crime",7.6,Emily Rose,Lucas Bryant,Eric Balfour,Richard Donat,35409,2010,,,12
442,Doctor Who,U,45,"Adventure, Drama, Family",8.4,William Hartnell,Patrick Troughton,Jon Pertwee,Tom Baker,35379,1963,1989.0,27.0,9
443,Phineas and Ferb,NA,15,"Short, Animation, Action",8.0,Vincent Martella,Thomas Brodie-Sangster,Dan Povenmire,Ashley Tisdale,35237,2007,2015.0,9.0,6
444,Lethal Weapon,16,44,"Comedy, Crime, Action",7.9,Damon Wayans,Keesha Sharp,Kevin Rahm,Michelle Mitchenor,35191,2016,2019.0,4.0,16
445,Raising Hope,NA,22,"Family, Comedy",8.0,Lucas Neff,Martha Plimpton,Garret Dillahunt,Shannon Woodward,34948,2010,2014.0,5.0,AL
446,Beauty and the Beast,16,60,"Romance, Drama, Horror",7.1,Kristin Kreuk,Jay Ryan,Nina Lisandrello,Austin Basis,34850,2012,2016.0,5.0,12
447,Masters of Sex,16+,60,"Romance, Drama",7.9,Michael Sheen,Lizzy Caplan,Caitlin FitzGerald,Teddy Sears,34829,2013,2016.0,4.0,16
448,Young Sheldon,U,30,Comedy,7.4,Iain Armitage,Zoe Perry,Lance Barber,Montana Jordan,34819,2017,,,AL
449,Scream Queens,NA,45,"Horror, Comedy, Mystery",7.1,Emma Roberts,Lea Michele,Abigail Breslin,Keke Palmer,34638,2015,2016.0,2.0,12
450,Sabrina the Teenage Witch,U,22,"Fantasy, Family, Comedy",6.7,Melissa Joan Hart,Caroline Rhea,Beth Broderick,Nick Bakay,34500,1996,2003.0,8.0,AL
451,Doom Patrol,NA,60,"Comedy, Adventure, Action",7.9,Diane Guerrero,April Bowlby,Matt Bomer,Brendan Fraser,34452,2019,,,16
452,Line of Duty,16,60,"Mystery, Drama, Crime",8.7,Adrian Dunbar,Martin Compston,Vicky McClure,Craig Parkinson,34412,2012,,,12
453,Don't Trust the B---- in Apartment 23,NA,22,Comedy,7.3,Krysten Ritter,Dreama Walker,Michael Blaiklock,Eric André,34388,2012,2013.0,2.0,TV-14
454,The A-Team,NA,60,"Adventure, Crime, Action",7.5,George Peppard,Mr. T,Dwight Schultz,Dirk Benedict,34386,1983,1987.0,5.0,6
455,Happy Endings,NA,22,"Romance, Comedy",7.7,Eliza Coupe,Elisha Cuthbert,Zachary Knighton,Adam Pally,34378,2011,2020.0,10.0,TV-14
456,The Wonder Years,NA,22,"Family, Drama, Comedy",8.3,Fred Savage,Dan Lauria,Daniel Stern,Alley Mills,34243,1988,1993.0,6.0,TV-PG
457,Everybody Hates Chris,NA,22,"Drama, Comedy, Music",7.4,Terry Crews,Tichina Arnold,Tequan Richmond,Imani Hakim,34230,2005,2009.0,5.0,6
458,According to Jim,NA,30,"Romance, Comedy",6.4,Jim Belushi,Courtney Thorne-Smith,Larry Joe Campbell,Taylor Atelian,34140,2001,2009.0,9.0,6
459,Scream: The TV Series,18,45,"Drama, Crime, Horror",7.2,Willa Fitzgerald,Bex Taylor-Klaus,John Karna,Carlson Young,34131,2015,2019.0,5.0,16
460,The Tomorrow People,U,43,"Drama, Action, Sci-Fi",7.2,Robbie Amell,Peyton List,Luke Mitchell,Aaron Yoo,34122,2013,2014.0,2.0,TV-14
461,The Fairly OddParents,NA,30,"Animation, Adventure, Comedy",7.2,Tara Strong,Susanne Blakeslee,Daran Norris,Carlos Alazraqui,33975,2001,2017.0,17.0,AL
462,The Ranch,18+,30,"Drama, Western, Comedy",7.5,Ashton Kutcher,Sam Elliott,Grady Lee Richmond,Elisha Cuthbert,33832,2016,2020.0,5.0,6
463,Happy Valley,NA,58,"Drama, Thriller, Crime",8.4,Sarah Lancashire,Siobhan Finneran,Shane Zaza,Charlie Murphy,33692,2014,,,16
464,Impractical Jokers,13,30,"Reality-TV, Comedy",8.6,Brian Quinn,James Murray,Sal Vulcano,Joe Gatto,33642,2011,,,TV-14
465,Goliath,18+,60,Drama,8.2,Billy Bob Thornton,Tania Raymonde,Nina Arianda,Diana Hopper,33551,2016,,,18
466,Farscape,NA,50,"Adventure, Drama, Action",8.2,Ben Browder,Claudia Black,Anthony Simcoe,Lani John Tupu,33469,1999,2003.0,5.0,6
467,Legend of the Seeker,NA,44,"Adventure, Drama, Action",7.6,Craig Horner,Bridget Regan,Bruce Spence,Craig Parker,33356,2008,2010.0,3.0,TV-14
468,"Ed, Edd n Eddy",NA,30,"Family, Animation, Comedy",7.4,Matt Hill,Sam Vincent,Tony Sampson,Erin Fitzgerald,33329,1999,2008.0,10.0,6
469,Happy!,18,60,"Comedy, Crime, Action",8.2,Christopher Meloni,Ritchie Coster,Lili Mirojnick,Patton Oswalt,33285,2017,2019.0,3.0,16
470,Episodes,NA,30,Comedy,7.8,Matt LeBlanc,Stephen Mangan,Tamsin Greig,John Pankow,33037,2011,2017.0,7.0,12
471,iCarly,NA,30,"Romance, Family, Comedy",6.6,Miranda Cosgrove,Jerry Trainor,Jennette McCurdy,Nathan Kress,33030,2007,2012.0,6.0,AL
472,The Flintstones,NA,26,"Animation, Adventure, Comedy",7.5,Alan Reed,Mel Blanc,Jean Vander Pyl,Bea Benaderet,32965,1960,1966.0,7.0,6
473,Johnny Bravo,NA,30,"Animation, Adventure, Comedy",7.2,Jeff Bennett,Brenda Vaccaro,Mae Whitman,Tom Kenny,32874,1997,2004.0,8.0,AL
474,Final Space,NA,30,"Animation, Adventure, Action",8.3,Fred Armisen,Tom Kenny,Olan Rogers,Tika Sumpter,32861,2018,,,12
475,Z Nation,18,44,"Comedy, Drama, Action",6.7,Russell Hodgkinson,Nat Zang,Keith Allan,Kellita Smith,32838,2014,2018.0,5.0,16
476,The Suite Life of Zack & Cody,PG,30,"Family, Comedy",6.5,Cole Sprouse,Dylan Sprouse,Brenda Song,Ashley Tisdale,32762,2005,2008.0,4.0,AL
477,Red Dwarf,NA,30,"Adventure, Comedy, Sci-Fi",8.4,Chris Barrie,Craig Charles,Danny John-Jules,Robert Llewellyn,32633,1988,,,MG6
478,Life,13,45,"Mystery, Drama, Crime",8.3,Damian Lewis,Sarah Shahi,Adam Arkin,Brent Sexton,32564,2007,2009.0,3.0,16
479,Blue Bloods,NA,43,"Mystery, Drama, Crime",7.6,Donnie Wahlberg,Bridget Moynahan,Will Estes,Len Cariou,32512,2010,,,16
480,Top of the Lake,NA,60,"Mystery, Drama, Crime",7.5,Elisabeth Moss,David Wenham,Peter Mullan,Thomas M. Wright,32355,2013,2017.0,5.0,16
481,Batwoman,NA,45,"Adventure, Crime, Action",3.4,Camrus Johnson,Rachel Skarsten,Meagan Tandy,Nicole Kang,32304,2019,,,12
482,Saved by the Bell,NA,30,"Romance, Family, Comedy",7.0,Mark-Paul Gosselaar,Mario Lopez,Dustin Diamond,Lark Voorhies,32241,1989,1992.0,4.0,AL
483,The Filthy Frank Show,NA,12,"Fantasy, Comedy, Music",9.5,Joji,Artemis Holdenberry,Zeeq,Bloody Hairy,32155,2011,2017.0,7.0,12
484,Safe,18,60,"Mystery, Drama, Crime",7.3,Michael C. Hall,Amy James-Kelly,Amanda Abbington,Freddie Thorp,32141,2018,2018.0,1.0,16
485,Yellowstone,NA,60,"Drama, Western",8.6,Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,32071,2018,,,12
486,Good Girls,16,43,"Drama, Crime, Comedy",7.8,Christina Hendricks,Retta,Mae Whitman,Reno Wilson,32012,2018,,,16
487,Rugrats,NA,30,"Animation, Adventure, Comedy",7.4,Elizabeth Daily,Christine Cavanaugh,Nancy Cartwright,Kath Soucie,31985,1990,2006.0,17.0,TV-Y
488,Law & Order,NA,45,"Mystery, Drama, Crime",7.7,Jerry Orbach,Jesse L. Martin,Dennis Farina,S. Epatha Merkerson,31923,1990,2010.0,21.0,NA
489,Young Justice,NA,23,"Animation, Adventure, Action",8.6,Jesse McCartney,Danica McKellar,Nolan North,Khary Payton,31763,2010,,,6
490,The Golden Girls,NA,30,"Drama, Comedy",7.9,Bea Arthur,Betty White,Rue McClanahan,Estelle Getty,31741,1985,1992.0,8.0,AL
491,Rules of Engagement,NA,22,"Romance, Comedy",7.3,Patrick Warburton,Megyn Price,Oliver Hudson,Bianca Kajlich,31659,2007,2013.0,7.0,AL
492,ALF,NA,30,"Family, Comedy, Sci-Fi",7.4,Mihaly 'Michu' Meszaros,Paul Fusco,Max Wright,Anne Schedeen,31650,1986,1990.0,5.0,AL
493,The Protector,18,40,"Fantasy, Action, Sci-Fi",6.7,Çagatay Ulusoy,Hazar Ergüçlü,Okan Yalabik,Burçin Terzioglu,31626,2018,2020.0,3.0,16
494,Shooter,16,60,"Drama, Action",7.5,Ryan Phillippe,Shantel VanSanten,Cynthia Addai-Robinson,Omar Epps,31577,2016,2018.0,3.0,16
495,Bored to Death,NA,28,"Drama, Crime, Comedy",7.9,Jason Schwartzman,Zach Galifianakis,Ted Danson,Heather Burns,31553,2009,2011.0,3.0,9
496,The Goldbergs,NA,22,Comedy,8.1,Wendi McLendon-Covey,Sean Giambrone,Troy Gentile,Hayley Orrantia,31495,2013,,,9
497,The Cosby Show,NA,30,"Romance, Family, Comedy",7.3,Bill Cosby,Phylicia Rashad,Keshia Knight Pulliam,Malcolm-Jamal Warner,31422,1984,1992.0,9.0,AL
498,The Family Man,16+,45,"Comedy, Drama, Action",8.5,Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,31390,2019,,,AL
499,"Beverly Hills, 90210",NA,44,"Romance, Drama",6.4,Jason Priestley,Shannen Doherty,Luke Perry,Jennie Garth,31373,1990,2000.0,11.0,AL
500,A Discovery of Witches,15+,60,"Fantasy, Drama, Romance",8.0,Matthew Goode,Teresa Palmer,Valarie Pettiford,Alex Kingston,31305,2018,,,12
501,The Bugs Bunny Show,NA,30,"Animation, Comedy",8.6,Mel Blanc,June Foray,Jim Backus,Bea Benaderet,31238,1960,1975.0,16.0,TV-G
502,Star Wars: Rebels,NA,22,"Animation, Adventure, Action",8.0,Taylor Gray,Dave Filoni,Vanessa Marshall,Freddie Prinze Jr.,31235,2014,2018.0,5.0,6
503,The Gifted,12+,43,"Fantasy, Drama, Action",7.3,Stephen Moyer,Amy Acker,Sean Teale,Natalie Alyn Lind,31191,2017,2019.0,3.0,12
504,Hunters,18,60,"Mystery, Drama, Crime",7.2,Al Pacino,Logan Lerman,Lena Olin,Jerrika Hinton,31074,2020,,,18
505,The Rain,18,45,"Drama, Thriller, Sci-Fi",6.3,Alba August,Lucas Lynggaard Tønnesen,Mikkel Boe Følsgaard,Lukas Løkken,30924,2018,2020.0,3.0,16
506,Parenthood,NA,60,"Drama, Comedy",8.2,Peter Krause,Lauren Graham,Dax Shepard,Monica Potter,30845,2010,2015.0,6.0,AL
507,Dark Angel,NA,60,"Mystery, Drama, Action",7.4,Jessica Alba,Michael Weatherly,Richard Gunn,J.C. MacKenzie,30802,2000,2002.0,3.0,12
508,Teenage Mutant Ninja Turtles,NA,23,"Animation, Adventure, Action",7.9,Cam Clarke,Barry Gordon,Rob Paulsen,Townsend Coleman,30774,1987,1996.0,10.0,NA
509,Hey Arnold!,NA,15,"Animation, Drama, Comedy",7.6,Francesca Marie Smith,Jamil Walker Smith,Dan Castellaneta,Justin Shenkarow,30705,1996,2004.0,9.0,AL
510,Ally McBeal,NA,45,"Fantasy, Drama, Comedy",6.8,Calista Flockhart,Greg Germann,Jane Krakowski,Vonda Shepard,30626,1997,2002.0,6.0,6
511,Suburgatory,NA,22,Comedy,7.2,Jeremy Sisto,Jane Levy,Carly Chaikin,Allie Grant,30556,2011,2014.0,4.0,6
512,Colony,16,42,"Adventure, Drama, Action",7.4,Josh Holloway,Sarah Wayne Callies,Peter Jacobson,Tory Kittles,30482,2016,2018.0,3.0,12
513,Sneaky Pete,18,60,Crime,8.1,Giovanni Ribisi,Marin Ireland,Shane McRae,Libe Barer,30440,2015,2019.0,5.0,18
514,Knight Rider,NA,46,"Drama, Crime, Action",6.9,David Hasselhoff,Edward Mulhare,Richard Basehart,Patricia McPherson,30279,1982,1986.0,5.0,MG6
515,"Scooby Doo, Where Are You!",NA,22,"Animation, Adventure, Comedy",7.9,Don Messick,Casey Kasem,Nicole Jaffe,Vic Perrin,30191,1969,1970.0,2.0,TV-G
516,An Idiot Abroad,NA,43,"Documentary, Adventure, Comedy",8.3,Karl Pilkington,Ricky Gervais,Stephen Merchant,Luke Campbell,30121,2010,2012.0,3.0,TV-14
517,Kingdom,18,45,"Horror, Drama, Action",8.4,Ju Ji-Hoon,Bae Doona,Kim Sungkyu,Hye-jun Kim,30062,2019,,,16
518,Regular Show,NA,23,"Short, Animation, Action",8.4,J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,30012,2009,2017.0,9.0,6
519,Anger Management,18,22,"Romance, Comedy",6.6,Charlie Sheen,Shawnee Smith,Noureen DeWulf,Michael Arden,29957,2012,2014.0,3.0,PG-13
520,Rizzoli & Isles,16,60,"Mystery, Drama, Crime",7.6,Angie Harmon,Sasha Alexander,Jordan Bridges,Bruce McGill,29866,2010,2016.0,7.0,12
521,Gomorra: La serie,NA,55,"Drama, Thriller, Crime",8.7,Salvatore Esposito,Marco D'Amore,Cristiana Dell'Anna,Fortunato Cerlino,29783,2014,,,16
522,Wizards of Waverly Place,All,22,"Adventure, Drama, Comedy",6.9,Selena Gomez,David Henrie,Jake T. Austin,Jennifer Stone,29638,2007,2012.0,6.0,TV-G
523,QI,NA,30,"Game-Show, Comedy",8.6,Alan Davies,Stephen Fry,Sandi Toksvig,Phill Jupitus,29604,2003,,,TV-PG
524,Last Man Standing,12+,30,Comedy,7.6,Tim Allen,Nancy Travis,Hector Elizondo,Christoph Sanders,29526,2011,2021.0,11.0,AL
525,F Is for Family,18,30,"Animation, Drama, Comedy",8.0,Bill Burr,Laura Dern,Justin Long,Debi Derryberry,29446,2015,,,16
526,DuckTales,NA,23,"Animation, Adventure, Comedy",8.1,Alan Young,Russi Taylor,Terence McGovern,Chuck McCann,29445,1987,1990.0,4.0,9
527,Strike Back,NA,45,"Drama, Thriller, Action",8.2,Philip Winchester,Sullivan Stapleton,Michelle Lukes,Daniel MacPherson,29347,2010,2020.0,11.0,16
528,Longmire,NA,60,"Drama, Crime, Action",8.3,Robert Taylor,Katee Sackhoff,Lou Diamond Phillips,Cassidy Freeman,29313,2012,2017.0,6.0,12
529,Lovecraft Country,18,60,"Fantasy, Drama, Horror",7.1,Jonathan Majors,Jurnee Smollett,Courtney B. Vance,Michael Kenneth Williams,29041,2020,,,16
530,Kenpû Denki Berserk,NA,23,"Animation, Adventure, Action",8.7,Nobutoshi Canna,Marc Diraison,Carrie Keranen,Kevin T. Collins,28987,1997,1998.0,2.0,Not Rated
531,Life on Mars,NA,60,"Mystery, Drama, Crime",8.3,John Simm,Philip Glenister,Liz White,Dean Andrews,28896,2006,2007.0,2.0,12
532,Lost Girl,NA,44,"Fantasy, Drama, Action",7.7,Anna Silk,Kris Holden-Ried,Zoie Palmer,Rick Howland,28705,2010,2016.0,7.0,12
533,The Mindy Project,16,30,Comedy,7.4,Mindy Kaling,Ike Barinholtz,Ed Weeks,Chris Messina,28619,2012,2017.0,6.0,AL
534,Halt and Catch Fire,NA,60,Drama,8.4,Lee Pace,Scoot McNairy,Mackenzie Davis,Kerry Bishé,28578,2014,2017.0,4.0,TV-14
535,Mom,16+,30,"Romance, Drama, Comedy",7.2,Allison Janney,Anna Faris,Mimi Kennedy,Beth Hall,28540,2013,2021.0,9.0,AL
536,Dharma & Greg,NA,30,"Romance, Comedy",6.3,Jenna Elfman,Thomas Gibson,Joel Murray,Mimi Kennedy,28515,1997,2002.0,6.0,AL
537,Chicago P.D.,NA,43,"Drama, Crime, Action",8.1,Jason Beghe,Jesse Lee Soffer,Patrick John Flueger,Marina Squerciati,28493,2014,,,16
538,Demon Slayer: Kimetsu No Yaiba,16,25,"Fantasy, Animation, Action",8.7,Natsuki Hanae,Zach Aguilar,Abby Trott,Aleks Le,28442,2019,,,12
539,Derek,NA,23,"Drama, Comedy",8.0,Ricky Gervais,Kerry Godliman,David Earl,Tim Barlow,28354,2012,2014.0,3.0,6
540,Columbo,NA,100,"Mystery, Drama, Crime",8.2,Peter Falk,Mike Lally,John Finnegan,Bruce Kirby,28285,1971,2003.0,33.0,6
541,Helix,NA,40,"Mystery, Drama, Horror",6.8,Billy Campbell,Kyra Zagorsky,Mark Ghanimé,Jordan Hayes,28271,2014,2015.0,2.0,16
542,Dirilis: Ertugrul,16,120,"Adventure, Drama, Action",7.9,Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun,Nurettin Sönmez,28237,2014,2019.0,6.0,TV-14
543,Pinky and the Brain,NA,30,"Family, Animation, Comedy",7.9,Maurice LaMarche,Rob Paulsen,Tress MacNeille,Frank Welker,28204,1995,1998.0,4.0,TV-Y
544,Skam,NA,30,"Romance, Drama",8.6,Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,28127,2015,2017.0,3.0,Not Rated
545,Dracula,NA,43,"Romance, Drama, Horror",7.4,Jonathan Rhys Meyers,Jessica De Gouw,Thomas Kretschmann,Victoria Smurfit,28097,2013,2014.0,2.0,16
546,Babylon 5,NA,45,"Adventure, Drama, Action",8.3,Mira Furlan,Richard Biggs,Stephen Furst,Andreas Katsulas,28095,1993,1998.0,6.0,MG6
547,Kyle XY,NA,60,"Mystery, Drama, Romance",7.5,Matt Dallas,Marguerite MacIntyre,Bruce Thomas,April Matson,28045,2006,2009.0,4.0,TV-14
548,Kota Factory,16,45,"Drama, Comedy",9.0,Mayur More,Jitendra Kumar,Ranjan Raj,Revathi Pillai,28043,2019,2019.0,1.0,AL
549,Damages,18,60,"Mystery, Drama, Crime",8.1,Glenn Close,Rose Byrne,Tate Donovan,Zachary Booth,27960,2007,2012.0,6.0,16
550,Snowpiercer,18,60,"Drama, Action, Sci-Fi",6.8,Daveed Diggs,Mickey Sumner,Alison Wright,Jennifer Connelly,27822,2020,,,16
551,Party Down,NA,30,"Drama, Comedy",8.2,Adam Scott,Ken Marino,Ryan Hansen,Martin Starr,27770,2009,2010.0,2.0,TV-14
552,Beavis and Butt-Head,NA,15,"Animation, Comedy, Music",7.5,Mike Judge,Dale Revo,Kristofor Brown,Tracy Grandstaff,27721,1993,2011.0,19.0,AL
553,Alphas,NA,44,"Drama, Action, Sci-Fi",7.2,David Strathairn,Ryan Cartwright,Warren Christie,Azita Ghanizada,27690,2011,2012.0,2.0,TV-14
554,Hercules: The Legendary Journeys,NA,44,"Adventure, Drama, Action",6.5,Kevin Sorbo,Michael Hurst,Kevin Smith,Robert Trebor,27600,1995,1999.0,5.0,TV-G
555,Behzat Ç.: Bir Ankara Polisiyesi,NA,90,"Mystery, Drama, Crime",8.8,Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,27331,2010,2019.0,10.0,TV-14
556,Ezel,NA,90,"Drama, Thriller, Crime",8.6,Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,27255,2009,2011.0,3.0,TV-14
557,Roswell,NA,42,"Mystery, Drama, Sci-Fi",7.5,Shiri Appleby,Jason Behr,Katherine Heigl,Majandra Delfino,27254,1999,2002.0,4.0,6
558,American Vandal,18,34,"Drama, Crime, Comedy",8.2,Tyler Alvarez,Griffin Gluck,Jimmy Tatro,Travis Tope,26857,2017,2018.0,2.0,12
559,Spider-Man,PG,23,"Animation, Adventure, Action",8.4,Christopher Daniel Barnes,Sara Ballantine,Edward Asner,Roscoe Lee Browne,26793,1994,1998.0,5.0,12
560,Broad City,NA,22,Comedy,8.4,Ilana Glazer,Abbi Jacobson,Hannibal Buress,Arturo Castro,26775,2014,2019.0,6.0,AL
561,Covert Affairs,13,60,"Drama, Crime, Action",7.3,Piper Perabo,Christopher Gorham,Kari Matchett,Peter Gallagher,26766,2010,2014.0,5.0,12
562,The Boondocks,NA,22,"Comedy, Animation, Action",8.4,Regina King,John Witherspoon,Gary Anthony Williams,Cedric Yarbrough,26758,2005,2014.0,10.0,12
563,Keeping Up with the Kardashians,16,44,"Reality-TV, Family, Drama",2.8,Khloé Kardashian,Kim Kardashian West,Kourtney Kardashian,Kris Jenner,26601,2006,,,6
564,Lilyhammer,NA,45,"Drama, Crime, Comedy",8.0,Steven Van Zandt,Trond Fausa,Steinar Sagen,Marian Saastad Ottesen,26595,2012,2014.0,3.0,16
565,Panchayat,16,35,"Drama, Comedy",8.7,Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,26587,2020,,,16
566,Spin City,NA,30,Comedy,7.3,Michael J. Fox,Charlie Sheen,Heather Locklear,Richard Kind,26507,1996,2002.0,7.0,TV-14
567,Teen Titans,NA,30,"Animation, Adventure, Action",7.8,Hynden Walch,Greg Cipes,Scott Menville,Khary Payton,26467,2003,2006.0,4.0,6
568,Asur: Welcome to Your Dark Side,18,43,"Mystery, Drama, Crime",8.4,Arshad Warsi,Barun Sobti,Riddhi Dogra,Anupriya Goenka,26350,2020,,,NA
569,Quantum Leap,NA,60,"Adventure, Drama, Action",8.1,Scott Bakula,Dean Stockwell,Deborah Pratt,Dennis Wolfberg,26341,1989,1993.0,5.0,TV-PG
570,Pod prikritie,NA,60,"Drama, Crime, Action",8.9,Ivaylo Zahariev,Zachary Baharov,Vladimir Penev,Marian Valev,26317,2011,2016.0,6.0,NA
571,Hanna,16,60,"Drama, Action",7.5,Esme Creed-Miles,Mireille Enos,Joel Kinnaman,Yasmin Monet Prince,26177,2019,,,16
572,Poldark,18,60,"Romance, Drama, History",8.3,Aidan Turner,Eleanor Tomlinson,Jack Farthing,Beatie Edney,26029,2015,2019.0,5.0,12
573,Las Vegas,NA,60,"Drama, Crime",7.4,Josh Duhamel,James Caan,James Lesure,Vanessa Marcil,26022,2003,2008.0,6.0,12
574,Steven Universe,NA,11,"Short, Animation, Action",8.2,Zach Callison,Deedee Magno,Michaela Dietz,Estelle,25997,2013,2020.0,8.0,TV-PG
575,The Carrie Diaries,NA,42,"Romance, Comedy",7.0,AnnaSophia Robb,Austin Butler,Ellen Wong,Katie Findlay,25917,2013,2014.0,2.0,6
576,Medium,NA,60,"Fantasy, Drama, Crime",6.9,Patricia Arquette,Miguel Sandoval,Jake Weber,Sofia Vassilieva,25779,2005,2011.0,7.0,12
577,Kiseijû: Sei no kakuritsu,NA,22,"Horror, Animation, Action",8.3,Adam Gibbs,Aya Hirano,Brittney Karbowski,Nobunaga Shimazaki,25754,2014,2015.0,2.0,TV-MA
578,Superstore,NA,22,Comedy,7.8,Ben Feldman,Lauren Ash,Colton Dunn,Nico Santos,25703,2015,,,AL
579,The Exorcist,NA,45,"Mystery, Drama, Horror",8.0,Alfonso Herrera,Ben Daniels,Kurt Egyiawan,Hannah Kasulka,25475,2016,2018.0,3.0,16
580,The Event,NA,43,"Mystery, Drama, Crime",7.0,Jason Ritter,Sarah Roemer,Ian Anthony Dale,Zeljko Ivanek,25475,2010,2011.0,2.0,12
